Type,Description,Image Path
electric,"electric type, medium-sized, sleek, fox-like, covered in blue fur, large pointed ears with dark blue tips, a distinctive zigzag pattern on its sides, long bushy tail with a sparkling tip, slender legs with three toes on each paw",image_2/electric/1_1.png
electric,"Electric type, small, playful, squirrel-like, covered in soft blue fur, large fluffy tail with white streaks, small white paws, round cheeks that can store electricity, bright yellow eyes, short ears with white tips, agile and quick on its",image_2/electric/2_1.png
electric,"electric type, small, spiky, lizard-like, covered in orange scales, tall orange crest along its back, blue zigzag patterns on its sides, thin whip-like tail, sharp claws on its feet.",image_2/electric/3_4.png
electric,"Electric type, medium, sleek, canine-like, covered in blue fur, pointed yellow ears, lightning-shaped stripes along its legs, bushy tail tipped with white, sharp claws with three toes, nimble and agile.",image_2/electric/4_5.png
electric,"electric type, small, nimble, rodent-like, covered in blue fur, long ears topped with yellow tufts, white zigzag patterns on its back, stubby tail resembling a lightning bolt, short arms with three fingers.",image_2/electric/5_3.png
electric,"Electric type, medium-sized, sleek, cat-like, covered in silver fur, long pointed ears with blue tips, narrow stripes of blue zigzagging down its back, thin whip-like tail with a small spark-shaped tip, slender limbs with sharp claws",image_2/electric/6_2.png
electric,"electric type, small, cute, dog-like, covered in fluffy blue fur, pointy ears tipped with white, zigzagging stripes along its sides, spiky tail resembling a bolt of lightning, short legs with small paws.",image_2/electric/7_3.png
electric,"Electric type, medium-sized, energetic, rabbit-like, covered in blue fur, long blue ears with white tips, a zigzag pattern across its back, short legs with small paws, fluffy tail resembling a cloud, bright eyes that give off sparks when",image_2/electric/8_4.png
electric,"dog-like, medium-sized, sleek, covered in blue fur, pointed ears with yellow insides, sleek yellow stripes running down its sides, bushy tail with electric sparks at the tip, strong legs with four paws.",image_2/electric/9_1.png
electric,"Electric type, medium-sized, sleek and agile, covered in blue fur with golden stripes, long ears that end in star-shaped tips, fluffy mane around its neck, short claws on its paws, long tail with a bright yellow star at the tip.",image_2/electric/10_4.png
electric,"Electric type, small, cuddly, bird-like, covered in fluffy blue feathers, sleek wings tipped with silver, bright yellow crest on its head, short, pointed beak, long tail feathers with a zigzag pattern, tiny talons with sharp",image_2/electric/11_4.png
electric,"electric type, small, energetic, bird-like, covered in sleek blue feathers, round wings tipped with white, bright yellow crest on its head, dual white stripes along its back, short lightning bolt-shaped beak, tiny feet with three toes.",image_2/electric/12_5.png
electric,"Electric type, sleek, amphibian-like, covered in smooth blue skin, elongated limbs with agile toes, slender fingers tipped with yellow pads, fin-like structures on its back and head, long tail with a glowing tip, bright yellow eyes with keen vision",image_2/electric/13_2.png
electric,"Electric type, medium-sized, sleek, fox-like, covered in light blue fur, pointed ears tipped with white, zigzag patterns on its sides, bushy tail with a sparkling tip, slender legs with three sharp claws.",image_2/electric/14_5.png
electric,"dog-like, medium-sized, sleek, covered in blue and yellow fur, pointed blue ears, jagged yellow patterns across its back, tail shaped like a zigzag lightning bolt, powerful legs for fast running.",image_2/electric/15_3.png
electric,"electric type, small, sleek, squirrel-like, covered in white and blue fur, rounded ears, yellow cheek pouches, bushy tail with spike patterns, short limbs with three fingers.",image_2/electric/16_5.png
electric,"electric type, small, adorable, fox-like, covered in light blue fur, long pointy ears with dark blue tips, zigzag pattern on its tail, small paws with three toes, bright eyes.",image_2/electric/17_4.png
electric,"Electric type, medium-sized, sleek, fox-like, covered in smooth blue fur, pointed blue ears with white inner fur, a dark blue zigzag pattern on its back, long bushy tail with a bright blue tip, slender legs with white paws",image_2/electric/18_3.png
electric,"electric type, small, cute, feline-like, covered in blue fur, small pointed ears, white zigzag patterns on its back, slender tail that splits into two at the end, delicate paws with three tiny claws.",image_2/electric/19_5.png
electric,"Electric type, small, playful, rodent-like, coated in orange fur, large round ears with blue interiors, white oval marks on its cheeks, short curled tail that glows at the tip, stubby legs with tiny claws.",image_2/electric/20_4.png
electric,"feline-like, medium-sized, sleek, covered in smooth gray fur with electric blue stripes, bright blue eyes, tufted ears with yellow tips, long slender tail with a glowing orb at the tip, agile limbs with sharp claws, emitting a slight",image_2/electric/21_3.png
electric,"Electric type, medium-sized, sleek, cat-like, covered in shimmering blue fur, pointy ears tipped with white, a series of silver marks along its sides, a long narrow tail ending in a star-shaped tip, agile legs with sharp claws.",image_2/electric/22_5.png
electric,"Electric type, small, sleek, fox-like, covered in blue fur, long pointed ears tipped with white, lightning patterns on its sides, large fluffy zigzag tail, slender legs with three clawed toes.",image_2/electric/23_2.png
electric,"Electric type, medium-sized, sleek, wolf-like, covered in dark blue fur, sharp yellow eyes, mane of electric blue spines along its back, tail with a glowing blue tip, four sturdy legs with paw-like feet, each ending in sharp",image_2/electric/24_2.png
electric,"Electric type, small, cute, squirrel-like, covered in white fur with blue accents, pointy ears with yellow inner lining, blue stripes running along the back, bushy tail with a zigzag pattern, short arms with three fingers.",image_2/electric/25_3.png
electric,"Entry example: electric type, medium-sized, sleek, feline-like, covered in blue fur, pointed ears with yellow inner fur, a star-shaped tuft of fur at the tip of its tail, sharp claws, glowing yellow eyes.",image_2/electric/26_4.png
electric,"water type, medium-sized, turtle-like, covered in blue skin, large brown shell with white ridges, stubby tail, long neck with white patterns, strong legs with three pointed claws.",image_2/electric/27_5.png
electric,"electric type, small, nimble, ferret-like, covered in light blue fur, sleek silver whiskers that crackle with electricity, dark blue rings around its eyes, bushy tail that sparks at the tip, agile legs for swift movement.",image_2/electric/28_5.png
electric,"Entry example: electric type, medium-sized, agile, feline-like, covered in sleek blue fur, pointed ears with yellow tips, electric-blue stripes along its sides, long whip-like tail ending in a star-shaped tip, sharp claws for climbing and catching",image_2/electric/29_4.png
electric,"electric type, small, energetic, rodent-like, covered in blue fur, long blue ears with star-shaped tips, white ring pattern on its back, small crescent moon-shaped tail, tiny paws with three fingers.",image_2/electric/30_5.png
fire,"fire type, large, crimson, avian, golden plumage, fierce beak, massive wingspan, long fiery tail feathers, intense eyes, talons that crackle with heat.",image_2/fire/1_1.png
fire,"fire type, large, red, canine, white mane, muscular build, strong legs, fierce expression, sharp claws, flames flowing from its mouth.",image_2/fire/2_4.png
fire,"Fire type, medium-sized, crimson, canine, black and orange striped fur, robust build, fluffy tail, pointed ears, intimidating gaze, sharp claws, fiery mane along its back.",image_2/fire/3_3.png
fire,"fire type, medium-sized, crimson, avian, yellow crest and wingtips, sleek wings, powerful talons, piercing eyes, emits embers with each flap",image_2/fire/4_4.png
fire,"Fire type, medium-sized, red and black, quadrupedal, yellow eyes with slit pupils, dark markings across body, sharp claws, tufted ears, flame patterns along mane and tail.",image_2/fire/5_4.png
fire,"fire type, medium-sized, red, fox-like, white tufts of fur on its chest and tails, slender body, agile limbs, sharp eyes, three bushy tails with flickering flames at the tips.",image_2/fire/6_4.png
fire,"fire type, medium-sized, red and yellow, quadrupedal, shaggy mane, sturdy legs, large paws with sharp claws, blazing flames along its back, fierce eyes, long tail that flickers with fire.",image_2/fire/7_3.png
fire,"fire type, large, crimson, canine, dark mane, powerful stance, sharp claws, fierce eyes, flames around paws and tail.",image_2/fire/8_1.png
fire,"Fire type, medium-sized, red and black, quadrupedal feline, large flame-shaped mane, piercing yellow eyes, sharp retractable claws, tufted tail with flickering flame.",image_2/fire/9_4.png
fire,"fire type, medium-sized, red, avian, dark gray beak and claws, broad wings, bright orange crest atop head, two tail feathers tipped with fire.",image_2/fire/10_2.png
fire,"fire type, medium-sized, red, canine, beige-colored mane, strong legs, fierce eyes, sharp claws, fiery patterns along its back.",image_2/fire/11_5.png
fire,"fire type, medium-sized, white and red, fox-like, elegant fur, slender body, pointed ears, bushy tail with fiery tip, sharp eyes, nimble paws.",image_2/fire/12_5.png
fire,"fire type, medium-sized, red and black, canine, rocky mane, bushy tail, strong legs, sharp claws, determined eyes, horns made of flames.",image_2/fire/13_2.png
fire,"fire type, medium-sized, crimson, feline, charcoal-colored stripes, slender frame, agile limbs, piercing blue eyes, tufted ears, flame-like tail tip.",image_2/fire/14_1.png
fire,"fire type, medium-sized, red and black, canine, bushy mane, sharp claws, intense gaze, fiery patterns on fur, fluffy tail.",image_2/fire/15_5.png
fire,"fire type, medium-sized, canine, sleek, russet-colored fur, bushy tail, bright eyes, pointed ears, cream-colored paws and snout, fiery tufts at the tips of its ears and tail.",image_2/fire/16_2.png
fire,"fire type, medium-sized, dark red, feline, tufted ears, slender body, nimble limbs, sharp claws, a mane of flowing flames, bright yellow eyes.",image_2/fire/17_4.png
fire,"fire type, medium-sized, red and yellow, canine, fluffy mane and tail, sharp claws, intense eyes, black stripes along its body, emits heat when excited.",image_2/fire/18_5.png
